Rhea americana;ema
Sterna trudeaui;trinta-réis-de-coroa-branca
Thalasseus maximus;trinta-réis-real
Thalasseus sandvicensis;trinta-réis-de-bando
Rynchops niger;talha-mar
Columbina passerina;rolinha-cinzenta
Columbina minuta;rolinha-de-asa-canela
Columbina talpacoti;rolinha-roxa
Columbina squammata;fogo-apagou
Columbina picui;rolinha-picui
Columbina cyanopis;rolinha-do-planalto
Claravis pretiosa;pararu-azul
Claravis godefrida;pararu-espelho
Uropelia campestris;rolinha-vaqueira
Columba livia;pombo-doméstico
Patagioenas speciosa;pomba-trocal
Patagioenas picazuro;pombão
Patagioenas maculosa;pomba-do-orvalho
Patagioenas fasciata;pomba-de-coleira-branca
Patagioenas cayennensis;pomba-galega
Patagioenas plumbea;pomba-amargosa
Patagioenas subvinacea;pomba-botafogo
Zenaida auriculata;pomba-de-bando
Leptotila verreauxi;juriti-pupu
Leptotila rufaxilla;juriti-gemedeira
Geotrygon violacea;juriti-vermelha
Geotrygon montana;pariri
Anodorhynchus hyacinthinus;arara-azul-grande
Anodorhynchus glaucus;arara-azul-pequena
Anodorhynchus leari;arara-azul-de-lear
Cyanopsitta spixii;ararinha-azul
Ara ararauna;arara-canindé
Ara macao;araracanga
Ara chloropterus;arara-vermelha-grande
Ara severus;maracanã-guaçu
Orthopsittaca manilata;maracanã-de-cara-amarela
Primolius maracana;maracanã-do-buriti
Primolius couloni;maracanã-de-cabeça-azul
Primolius auricollis;maracanã-de-colar
Diopsittaca nobilis;maracanã-pequena
Guarouba guarouba;ararajuba
Aratinga acuticaudata;aratinga-de-testa-azul
Aratinga leucophthalma;periquitão-maracanã
Aratinga auricapillus;jandaia-de-testa-vermelha
Aratinga jandaya;jandaia-verdadeira
Aratinga pintoi;cacaué
Aratinga solstitialis;jandaia-amarela
Aratinga weddellii;periquito-de-cabeça-suja
Aratinga aurea;periquito-rei
Aratinga pertinax;periquito-de-bochecha-parda
Aratinga cactorum;periquito-da-caatinga
Nandayus nenday;periquito-de-cabeça-preta
Pyrrhura cruentata;tiriba-grande
Pyrrhura devillei;tiriba-fogo
Pyrrhura frontalis;tiriba-de-testa-vermelha
Pyrrhura lepida;tiriba-pérola
Pyrrhura perlata;tiriba-de-barriga-vermelha
Pyrrhura molinae;tiriba-de-cara-suja
Pyrrhura leucotis;tiriba-de-orelha-branca
Pyrrhura griseipectus;tiriba-de-peito-cinza
Pyrrhura pfrimeri;tiriba-de-pfrimer 
Pyrrhura picta;tiriba-de-testa-azul
Pyrrhura lucianii;tiriba-de-deville
Pyrrhura roseifrons;tiriba-de-cabeça-vermelha
Pyrrhura amazonum;tiriba-de-hellmayr
Pyrrhura snethlageae;tiriba-do-madeira
Pyrrhura egregia;tiriba-de-cauda-roxa
Pyrrhura melanura;tiriba-fura-mata
Pyrrhura rupicola;tiriba-rupestre
Myiopsitta monachus;caturrita
Forpus passerinus;tuim-santo
Forpus xanthopterygius;tuim
Forpus sclateri;tuim-de-bico-escuro
Brotogeris tirica;periquito-rico
Brotogeris versicolurus;periquito-de-asa-branca
Brotogeris chiriri;periquito-de-encontro-amarelo
Brotogeris cyanoptera;periquito-de-asa-azul
Brotogeris chrysoptera;periquito-de-asa-dourada
Brotogeris sanctithomae;periquito-testinha
Nannopsittaca panychlora;periquito-dos-tepuis
Nannopsittaca dachilleae;periquito-da-amazônia
Touit purpuratus;apuim-de-costas-azuis
Touit melanonotus;apuim-de-costas-pretas
Touit huetii;apuim-de-asa-vermelha
Touit surdus;apuim-de-cauda-amarela
Pionites melanocephalus;marianinha-de-cabeça-preta
Pionites leucogaster;marianinha-de-cabeça-amarela
Pionopsitta vulturina;curica-urubu
Pionopsitta aurantiocephala;papagaio-de-cabeça-laranja
Pionopsitta barrabandi;curica-de-bochecha-laranja
Pionopsitta caica;curica-caica
Pionopsitta pileata;cuiú-cuiú
Graydidascalus brachyurus;curica-verde
Salvatoria xanthops;papagaio-galego
Pionus menstruus;maitaca-de-cabeça-azul
Pionus maximiliani;maitaca-verde
Pionus fuscus;maitaca-roxa
Amazona pretrei;papagaio-charão
Amazona autumnalis;papagaio-diadema
Amazona brasiliensis;papagaio-de-cara-roxa
Amazona rhodocorytha;chauá
Amazona festiva;papagaio-da-várzea
Amazona aestiva;papagaio-verdadeiro
Amazona ochrocephala;papagaio-campeiro
Amazona kawalli;papagaio-dos-garbes
Amazona amazonica;curica
Amazona farinosa;papagaio-moleiro
Amazona vinacea;papagaio-de-peito-roxo
Deroptyus accipitrinus;anacã
Triclaria malachitacea;sabiá-cica
Opisthocomus hoazin;cigana
Coccyzus cinereus;papa-lagarta-cinzento
Coccyzus erythropthalmus;papa-lagarta-de-bico-preto
Coccyzus americanus;papa-lagarta-de-asa-vermelha
Coccyzus euleri;papa-lagarta-de-euler
Coccyzus minor;papa-lagarta-do-mangue
Coccyzus melacoryphus;papa-lagarta-acanelado
Piaya cayana;alma-de-gato
Piaya melanogaster;chincoã-de-bico-vermelho
Coccycua minuta;chincoã-pequeno
Crotophaga major;anu-coroca
Crotophaga ani;anu-preto
Guira guira;anu-branco
Tapera naevia;saci
Dromococcyx phasianellus;peixe-frito-verdadeiro
Dromococcyx pavoninus;peixe-frito-pavonino
Neomorphus geoffroyi;jacu-estalo
Neomorphus squamiger;jacu-estalo-escamoso
Neomorphus rufipennis;jacu-estalo-de-asa-vermelha
Neomorphus pucheranii;jacu-estalo-de-bico-vermelho
Tyto alba;coruja-da-igreja
Megascops choliba;corujinha-do-mato
Megascops watsonii;corujinha-orelhuda
Megascops usta;corujinha-relógio
Megascops atricapilla;corujinha-sapo
Megascops sanctaecatarinae;corujinha-do-sul
Megascops guatemalae;corujinha-de-roraima
Lophostrix cristata;coruja-de-crista
Pulsatrix perspicillata;murucututu
Pulsatrix koeniswaldiana;murucututu-de-barriga-amarela
Bubo virginianus;jacurutu
Strix hylophila;coruja-listrada
Strix virgata;coruja-do-mato
Strix huhula;coruja-preta
Glaucidium hardyi;caburé-da-amazônia
Glaucidium mooreorum;caburé-de-pernambuco
Glaucidium minutissimum;caburé-miudinho
Glaucidium brasilianum;caburé
Athene cunicularia;coruja-buraqueira
Aegolius harrisii;caburé-acanelado
Rhinoptynx clamator;coruja-orelhuda
Asio stygius;mocho-diabo
Asio flammeus;mocho-dos-banhados
Steatornis caripensis;guácharo
Nyctibius grandis;mãe-da-lua-gigante
Nyctibius aethereus;mãe-da-lua-parda
Nyctibius griseus;mãe-da-lua
Nyctibius leucopterus;urutau-de-asa-branca
Nyctibius bracteatus;urutau-ferrugem
Lurocalis semitorquatus;tuju
Chordeiles pusillus;bacurauzinho
Chordeiles rupestris;bacurau-da-praia
Chordeiles acutipennis;bacurau-de-asa-fina
Chordeiles minor;bacurau-norte-americano
Nyctiprogne leucopyga;bacurau-de-cauda-barrada
Nyctiprogne vielliardi;bacurau-do-são-francisco
Podager nacunda;corucão
Nyctidromus albicollis;bacurau
Nyctiphrynus ocellatus;bacurau-ocelado
Caprimulgus rufus;joão-corta-pau
Caprimulgus sericocaudatus;bacurau-rabo-de-seda
Caprimulgus longirostris;bacurau-da-telha
Caprimulgus cayennensis;bacurau-de-cauda-branca
Caprimulgus maculicaudus;bacurau-de-rabo-maculado
Caprimulgus parvulus;bacurau-chintã
Caprimulgus nigrescens;bacurau-de-lajeado
Caprimulgus whitelyi;bacurau-dos-tepuis
Caprimulgus hirundinaceus;bacurauzinho-da-caatinga
Hydropsalis climacocerca;acurana
Hydropsalis torquata;bacurau-tesoura
Macropsalis forcipata;bacurau-tesoura-gigante
Eleothreptus anomalus;curiango-do-banhado
Eleothreptus candicans;bacurau-de-rabo-branco
Cypseloides fumigatus;taperuçu-preto
Cypseloides senex;taperuçu-velho
Streptoprocne phelpsi;taperuçu-dos-tepuis
Streptoprocne zonaris;taperuçu-de-coleira-branca
Streptoprocne biscutata;taperuçu-de-coleira-falha
Chaetura spinicaudus;andorinhão-de-sobre-branco
Chaetura cinereiventris;andorinhão-de-sobre-cinzento
Chaetura egregia;taperá-de-garganta-branca
Chaetura chapmani;andorinhão-de-chapman
Chaetura viridipennis;andorinhão-da-amazônia
Chaetura meridionalis;andorinhão-do-temporal
Chaetura brachyura;andorinhão-de-rabo-curto
Aeronautes montivagus;andorinhão-serrano
Tachornis squamata;tesourinha
Panyptila cayennensis;andorinhão-estofador
Ramphodon naevius;beija-flor-rajado
Glaucis dohrnii;balança-rabo-canela
Glaucis hirsutus;balança-rabo-de-bico-torto
Threnetes leucurus;balança-rabo-de-garganta-preta
Threnetes niger;balança-rabo-escuro
Anopetia gounellei;rabo-branco-de-cauda-larga
Phaethornis squalidus;rabo-branco-pequeno
Phaethornis maranhaoensis;rabo-branco-do-maranhão
Phaethornis rupurumii;rabo-branco-do-rupununi
Phaethornis aethopyga;rabo-branco-de-garganta-escura
Phaethornis idaliae;rabo-branco-mirim
Phaethornis nattereri;besourão-de-sobre-amarelo
Phaethornis griseogularis;rabo-branco-de-garganta-cinza
Phaethornis ruber;rabo-branco-rubro
Phaethornis subochraceus;rabo-branco-de-barriga-fulva
Phaethornis pretrei;rabo-branco-acanelado
Phaethornis eurynome;rabo-branco-de-garganta-rajada
Phaethornis hispidus;rabo-branco-cinza
Phaethornis philippii;rabo-branco-amarelo
Phaethornis bourcieri;rabo-branco-de-bico-reto
Phaethornis superciliosus;rabo-branco-de-bigodes
Phaethornis malaris;besourão-de-bico-grande
Phaethornis margarettae;rabo-branco-de-margarette
Doryfera johannae;bico-de-lança
Campylopterus largipennis;asa-de-sabre-cinza
Campylopterus hyperythrus;asa-de-sabre-canela
Campylopterus duidae;asa-de-sabre-de-peito-camurça
Eupetomena macroura;beija-flor-tesoura
Aphantochroa cirrochloris;beija-flor-cinza
Florisuga mellivora;beija-flor-azul-de-rabo-branco
Florisuga fusca;beija-flor-preto
Colibri delphinae;beija-flor-marrom
Colibri coruscans;beija-flor-violeta
Colibri serrirostris;beija-flor-de-orelha-violeta
Anthracothorax viridigula;beija-flor-de-veste-verde
Anthracothorax nigricollis;beija-flor-de-veste-preta
Avocettula recurvirostris;beija-flor-de-bico-virado
Topaza pella;beija-flor-brilho-de-fogo
